vendor_id,category,rating,review_count,booking_count,starting_price,max_price,avg_package_price,gallery_size,vendor_age_days,user_budget,recommended_score
vendor_40,Photography,4.84,75,71,60860,143158,137680,10,117,104131,3.7959
vendor_22,Food & beverage,4.58,64,98,51685,140769,111420,11,306,135305,3.7551
vendor_3,Making & Grooming,4.67,60,75,24843,64666,50501,2,1297,51551,3.6707
vendor_9,Making & Grooming,4.73,89,78,23890,64838,54630,11,43,28433,3.7548
vendor_6,Decorations,4.88,35,93,42612,107483,101434,0,1441,59457,3.6858
vendor_48,Decorations,4.56,74,122,43843,93692,89601,3,299,72606,3.7347
vendor_25,Photography,5,111,103,61016,129253,116607,4,821,72185,3.9299
vendor_44,Photography,4.69,89,62,66331,113571,106307,6,550,122592,3.7126
vendor_41,Food & beverage,4.92,5,106,55618,179504,88777,9,260,114505,3.5411
vendor_40,Photography,4.68,119,76,66278,113392,96813,6,834,144651,3.8023
vendor_39,Food & beverage,4.94,90,107,59762,145056,67872,6,796,160989,3.9618
vendor_39,Food & beverage,4.35,96,116,54488,140206,77907,3,514,155878,3.7066
vendor_6,Making & Grooming,4.6,66,62,21678,75626,75466,9,586,62557,3.6714
vendor_1,Photography,4.92,119,113,73339,108627,99278,11,1284,83776,3.955
vendor_37,Venue,4.37,103,89,131306,306372,269154,5,1464,249101,3.6609
vendor_49,Venue,4.18,88,60,143545,311198,309383,8,1166,181005,3.4472
vendor_2,Decorations,4.49,96,77,41291,107938,64955,0,414,86717,3.6564
vendor_38,Making & Grooming,4.99,75,39,21707,61791,48016,7,152,32688,3.7191
vendor_6,Making & Grooming,5,16,66,22931,63777,23128,0,1254,62107,3.6105
vendor_40,Making & Grooming,4.41,96,82,21794,73043,24605,6,518,39360,3.6525
vendor_16,Decorations,4.39,31,103,44736,85802,52891,9,292,86843,3.5422
vendor_41,Decorations,4.62,32,97,48815,100371,60650,10,1044,83016,3.6303
vendor_25,Food & beverage,4.85,75,122,59874,155151,111281,0,1473,176063,3.8955
vendor_33,Food & beverage,5,80,96,52200,186940,73557,8,190,88467,3.9256
vendor_22,Making & Grooming,5,33,113,24911,59987,47310,11,984,60818,3.8698
